Point1,Point1_Depth,Point2,Point2_Depth,Number_of_Pixels,Point 1: Depth / Pixel,Point 2: Depth/Pixel,Multiplication Factor
"(636, 303)",54.67000008,"(636, 423)",52.03999877,120,0.4336666564,0.455583334,0.08333333333
"(636, 302)",54.10999656,"(636, 424)",52.78999805,122,0.4327049021,0.4435245619,0.08196721311
"(578, 288)",53.56000066,"(582, 408)",52.03999877,120,0.4336666564,0.4463333388,0.08333333333
"(581, 284)",53.56000066,"(586, 407)",52.18999982,123,0.4243089416,0.4354471598,0.08130081301
"(581, 284)",53.4799993,"(586, 406)",51.59999728,122,0.4229507974,0.43836065,0.08196721311
"(581, 284)",53.2499969,"(586, 406)",52.03999877,122,0.426557367,0.4364753844,0.08196721311
"(582, 285)",52.9399991,"(585, 407)",51.88999772,122,0.4253278502,0.4339344189,0.08196721311
"(640, 301)",52.03999877,"(639, 424)",51.02999806,123,0.414878033,0.4230894209,0.08130081301
"(582, 284)",51.88999772,"(586, 406)",52.48999596,122,0.4302458685,0.4253278502,0.08196721311
"(639, 301)",51.88999772,"(638, 425)",51.09999776,124,0.4120967561,0.4184677236,0.08064516129
"(576, 282)",51.81999803,"(582, 407)",50.40000081,125,0.4032000065,0.4145599842,0.08
"(578, 281)",51.3899982,"(583, 406)",50.74999928,125,0.4059999943,0.4111199856,0.08
"(636, 303)",51.30999684,"(636, 424)",52.10999846,121,0.4306611443,0.4240495607,0.0826446281
"(640, 299)",51.16999745,"(640, 426)",48.9199996,127,0.3851968472,0.4029133658,0.07874015748
"(639, 299)",51.09999776,"(639, 426)",50.74999928,127,0.3996062936,0.4023621871,0.07874015748
"(639, 299)",51.05999804,"(638, 424)",50.05999804,125,0.4004799843,0.4084799843,0.08
"(643, 296)",50.33000112,"(644, 429)",47.64999747,133,0.3582706577,0.378421061,0.07518796992
"(649, 297)",49.91999865,"(649, 427)",48.52999747,130,0.3733076728,0.3839999896,0.07692307692
"(671, 292)",49.17999804,"(671, 433)",44.91999745,141,0.3185815422,0.3487943123,0.07092198582
"(644, 295)",48.14999998,"(644, 429)",47.09999859,134,0.3514925268,0.359328358,0.07462686567
"(657, 296)",48.02999794,"(656, 431)",46.38999999,135,0.3436296295,0.3557777626,0.07407407407
